Province,Cases,Year,Code_GADM,Name_GADM
BURDUR,7,2008,TUR.20_1,Burdur
BURSA,3,2008,TUR.21_1,Bursa
DİYARBAKIR,14,2008,TUR.26_1,Diyarbakir
DÜZCE,0,2008,TUR.27_1,D�zce
DENİZLİ,0,2008,TUR.25_1,Denizli
EDİRNE,3,2008,TUR.28_1,Edirne
ELAZIĞ,2,2008,TUR.29_1,Elazig
ERZİNCAN,4,2008,TUR.30_1,Erzincan
ERZURUM,23,2008,TUR.31_1,Erzurum
ESKİŞEHİR,3,2008,TUR.32_1,Eskisehir
GİRESUN,38,2008,TUR.34_1,Giresun
GÜMÜŞHANE,56,2008,TUR.35_1,G�m�shane
GAZİANTEP,8,2008,TUR.33_1,Gaziantep
HAKKARİ,0,2008,TUR.36_1,Hakkari
HATAY,5,2008,TUR.37_1,Hatay
IĞDIR,0,2008,TUR.38_1,Igdir
ISPARTA,2,2008,TUR.39_1,Isparta
KİLİS,1,2008,TUR.48_1,Kilis
KAHRAMANMARAŞ,4,2008,TUR.42_1,K. Maras
KÜTAHYA,4,2008,TUR.54_1,K�tahya
KARABÜK,80,2008,TUR.43_1,Karab�k
KARAMAN,0,2008,TUR.44_1,Karaman
KARS,1,2008,TUR.45_1,Kars
KASTAMONU,118,2008,TUR.46_1,Kastamonu
KAYSERİ,7,2008,TUR.47_1,Kayseri
KIRŞEHİR,0,2008,TUR.51_1,Kirsehir
KIRIKKALE,0,2008,TUR.49_1,Kinkkale
KIRKLARELİ,0,2008,TUR.50_1,Kirklareli
KOCAELİ,0,2008,TUR.52_1,Kocaeli
KONYA,7,2008,TUR.53_1,Konya
MALATYA,3,2008,TUR.55_1,Malatya
MANİSA,1,2008,TUR.56_1,Manisa
MARDİN,1,2008,TUR.57_1,Mardin
MERSİN,4,2008,TUR.58_1,Mersin
MUŞ,0,2008,TUR.60_1,Mus
MUĞLA,4,2008,TUR.59_1,Mugla
NİĞDE,1,2008,TUR.62_1,Nigde
NEVŞEHİR,1,2008,TUR.61_1,Nevsehir
ORDU,19,2008,TUR.63_1,Ordu
OSMANİYE,5,2008,TUR.64_1,Osmaniye
RİZE,0,2008,TUR.65_1,Rize
SİİRT,0,2008,TUR.69_1,Siirt
SİNOP,1,2008,TUR.70_1,Sinop
SİVAS,95,2008,TUR.72_1,Sivas
SAKARYA,2,2008,TUR.66_1,Sakarya
SAMSUN,43,2008,TUR.67_1,Samsun
TEKİRDAĞ,1,2008,TUR.73_1,Tekirdag
TOKAT,204,2008,TUR.74_1,Tokat
TRABZON,2,2008,TUR.75_1,Trabzon
TUNCELİ,2,2008,TUR.76_1,Tunceli
UŞAK,1,2008,TUR.77_1,Usak
VAN,0,2008,TUR.78_1,Van
YALOVA,0,2008,TUR.79_1,Yalova
YOZGAT,132,2008,TUR.80_1,Yozgat
ZONGULDAK,0,2008,TUR.81_1,Zinguldak
İSTANBUL,15,2009,TUR.40_1,Istanbul
İZMİR,3,2009,TUR.41_1,Izmir
ÇANAKKALE,4,2009,TUR.22_1,�anakkale
ÇANKIRI,23,2009,TUR.23_1,�ankiri
ÇORUM,133,2009,TUR.24_1,�orum
AĞRI,0,2009,TUR.4_1,Agri
ADANA,7,2009,TUR.1_1,Adana
ADIYAMAN,0,2009,TUR.2_1,Adiyaman
AFYONKARAHİSAR,4,2009,TUR.3_1,Afyon
AKSARAY,0,2009,TUR.5_1,Aksaray
AMASYA,35,2009,TUR.6_1,Amasya
ANKARA,39,2009,TUR.7_1,Ankara
ANTALYA,2,2009,TUR.8_1,Antalya
ARDAHAN,1,2009,TUR.9_1,Ardahan
ARTVİN,18,2009,TUR.10_1,Artvin
AYDIN,7,2009,TUR.11_1,Aydin
ŞANLIURFA,3,2009,TUR.68_1,Sanliurfa
ŞIRNAK,0,2009,TUR.71_1,Sirnak
BİLECİK,0,2009,TUR.16_1,Bilecik
BİNGÖL,0,2009,TUR.17_1,Bing�l
BİTLİS,2,2009,TUR.18_1,Bitlis
BALIKESİR,3,2009,TUR.12_1,Balikesir
BARTIN,0,2009,TUR.13_1,Bartin
BATMAN,3,2009,TUR.14_1,Batman
BAYBURT,5,2009,TUR.15_1,Bayburt
BOLU,19,2009,TUR.19_1,Bolu
BURDUR,2,2009,TUR.20_1,Burdur
BURSA,6,2009,TUR.21_1,Bursa
DİYARBAKIR,1,2009,TUR.26_1,Diyarbakir
DÜZCE,0,2009,TUR.27_1,D�zce
DENİZLİ,0,2009,TUR.25_1,Denizli
EDİRNE,0,2009,TUR.28_1,Edirne
ELAZIĞ,1,2009,TUR.29_1,Elazig
ERZİNCAN,14,2009,TUR.30_1,Erzincan
ERZURUM,39,2009,TUR.31_1,Erzurum
ESKİŞEHİR,0,2009,TUR.32_1,Eskisehir
GİRESUN,34,2009,TUR.34_1,Giresun
GÜMÜŞHANE,56,2009,TUR.35_1,G�m�shane
GAZİANTEP,0,2009,TUR.33_1,Gaziantep
HAKKARİ,0,2009,TUR.36_1,Hakkari
HATAY,1,2009,TUR.37_1,Hatay
IĞDIR,1,2009,TUR.38_1,Igdir
ISPARTA,0,2009,TUR.39_1,Isparta
KİLİS,0,2009,TUR.48_1,Kilis
