"Disease","Pathogen","DataType","Country","Year","Longitude","Latitude","NumCases","LocationName","Admin_name","IfPolygon_AdminLevel","ADMcode","ADMSource","Source"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2016,3.29371812576679,6.43281937087825,1,"Lagos state","Amuwo-Odofin",2,"NG025004","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2018,6.88592014617813,6.31408740880957,1,"Anambra state","Anambra East",2,"NG004002","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2018,6.80965677948015,6.49854007321142,3,"Anambra state","Anambra West",2,"NG004003","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2018,6.48419673117203,6.13438265776337,1,"Delta state","Aniocha South",2,"NG010002","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2018,11.1721049569695,8.81110304340644,1,"Taraba state","Ardo-Kola",2,"NG035001","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2019,11.1721049569695,8.81110304340644,5,"Taraba state","Ardo-Kola",2,"NG035001","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2019,7.80768544950248,5.51528748054077,1,"Abia state","Arochukwu",2,"NG001003","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2014,3.9019289548295,8.23898505648341,1,"Oyo state","Atiba",2,"NG031003","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2017,7.45307422911864,6.14950461321305,1,"Enugu state","Awgu",2,"NG014002","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2018,7.05872606604946,6.34262476716713,1,"Anambra state","Awka North",2,"NG004005","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2012,7.08761930369359,6.19742154218415,1,"Anambra state","Awka South",2,"NG004006","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2018,7.08761930369359,6.19742154218415,1,"Anambra state","Awka South",2,"NG004006","Redding2021_shapefile","Redding2021"
